train_project,test_project,metric_set,label,baseline_f1,f1_wo_cfs,f1_with_cfs,cfs_metrics
ant-ivy,commons-lang,combined,bug,0.0,0.03488372093023256,0.0625,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,commons-math,jit,adhoc,0.3312548713951676,0.4665127020785219,0.10311750599520382,oexp own minor nddev nsctr add
ant-ivy,commons-math,static,adhoc,0.2568870523415978,0.48005319148936165,0.43069306930693074,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,commons-math,pmd,adhoc,0.19599158454213264,0.34050309879693763,0.18099547511312217,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,commons-math,combined,adhoc,0.3281710914454277,0.48952042628774417,0.16976633285646164,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,commons-math,jit,bug,0.07696862048549437,0.15406562054208275,0.12531120331950205,add oexp own nsctr nddev minor
ant-ivy,commons-math,static,bug,0.021015761821366025,0.10778443113772455,0.10731707317073169,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,commons-math,pmd,bug,0.0427570954662735,0.09696969696969697,0.11134453781512604,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,commons-math,combined,bug,0.07909604519774013,0.13689482470784642,0.10759493670886076,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,commons-net,jit,adhoc,0.26315789473684215,0.5097345132743363,0.42105263157894735,oexp own minor nddev nsctr add
ant-ivy,commons-net,static,adhoc,0.26186830015313933,0.3843416370106761,0.38258575197889183,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,commons-net,pmd,adhoc,0.15744,0.3257328990228013,0.3249701314217443,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,commons-net,combined,adhoc,0.37194641449960597,0.49757673667205166,0.43694493783303734,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,commons-net,jit,bug,0.03292181069958848,0.13124999999999998,0.15102974828375285,add oexp own nsctr nddev minor
ant-ivy,commons-net,static,bug,0.0,0.015873015873015872,0.13289036544850497,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,commons-net,pmd,bug,0.03673938002296211,0.05844155844155844,0.14777070063694267,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,commons-net,combined,bug,0.011627906976744186,0.03252032520325203,0.10894941634241244,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,commons-scxml,jit,adhoc,0.5836487509462529,0.6487695749440716,0.5630630630630631,oexp own minor nddev nsctr add
ant-ivy,commons-scxml,static,adhoc,0.4007029876977153,0.48525469168900803,0.5730464326160816,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,commons-scxml,pmd,adhoc,0.35465116279069764,0.34662576687116564,0.16911764705882354,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,commons-scxml,combined,adhoc,0.535253227408143,0.611904761904762,0.6141078838174274,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,commons-scxml,jit,bug,0.14925373134328357,0.2789115646258503,0.17204301075268819,add oexp own nsctr nddev minor
ant-ivy,commons-scxml,static,bug,0.0,0.21739130434782608,0.1929824561403509,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,commons-scxml,pmd,bug,0.1044776119402985,0.10576923076923077,0.15838509316770186,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,commons-scxml,combined,bug,0.1565217391304348,0.2641509433962264,0.11483253588516747,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,commons-validator,jit,adhoc,0.4014732965009208,0.6348448687350836,0.35947712418300654,oexp own minor nddev nsctr add
ant-ivy,commons-validator,static,adhoc,0.2679127725856698,0.5473684210526315,0.5481798715203426,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,commons-validator,pmd,adhoc,0.25613660618996803,0.5014409221902016,0.45141065830721,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,commons-validator,combined,adhoc,0.39204545454545453,0.5861182519280206,0.4456233421750663,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,commons-validator,jit,bug,0.03703703703703703,0.09210526315789473,0.09852216748768473,add oexp own nsctr nddev minor
ant-ivy,commons-validator,static,bug,0.0,0.0,0.128,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,commons-validator,pmd,bug,0.030456852791878174,0.12227074235807858,0.15289256198347104,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,commons-validator,combined,bug,0.037037037037037035,0.07272727272727272,0.06349206349206349,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,commons-vfs,jit,adhoc,0.4806949806949807,0.4660936007640879,0.18770949720670388,oexp own minor nddev nsctr add
ant-ivy,commons-vfs,static,adhoc,0.31207946171099005,0.5053908355795148,0.49771167048054926,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,commons-vfs,pmd,adhoc,0.23596621957277694,0.37285223367697595,0.24561403508771934,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,commons-vfs,combined,adhoc,0.43956043956043955,0.47048903878583476,0.22361359570661896,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,commons-vfs,jit,bug,0.0681265206812652,0.11494252873563218,0.09138381201044388,add oexp own nsctr nddev minor
ant-ivy,commons-vfs,static,bug,0.037209302325581395,0.10752688172043011,0.1154639175257732,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,commons-vfs,pmd,bug,0.03636363636363636,0.07133058984910837,0.10118675827607745,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,commons-vfs,combined,bug,0.0320855614973262,0.08235294117647059,0.1295238095238095,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,deltaspike,jit,adhoc,0.22197459326944505,0.38633686690223795,0.12815533980582522,oexp own minor nddev nsctr add
ant-ivy,deltaspike,static,adhoc,0.23204419889502761,0.3091190108191654,0.3006731488406881,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
